,,,,,,,,
,,,ADDINBRD2_V1 1PCS BOM  (Bill of Materials),,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Item #,*Ref Des,*Qty,Manufacturer,*Mfg Part #,Description / Value,*Package,Type,Your Instructions / Notes
1,"C1, C2",2,Taiyo Yuden,TMK105AC6105KV-F,MLCC - 25V 1uF X6S 10%,0402,SMD,
2,C3,1,Taiyo Yuden,UMK105B7104KV-FR,MLCC - 50V 0.1uF X7R 10%,0402,SMD,
3,"D1, D2",2,Nexperia,PMEG4010AESBYL,Schottky Diodes,DSN1006-2,SMD,
4,F1,1,Walsin,FCC16102ABTP,Surface Mount Fuse,0603,SMD,
5,Q1,1,Diodes Incorporated,DMP2035UFDF-7,P-channel enhancement mode MOSFET,U-DFN2020-6,SMD,
6,Q2,1,Nexperia,BC817-40QAZ,NPN general-purpose transistor,DFN-1010D-3,SMD,
7,"R1, R2",2,Vishay,CRCW04025K10FKEDC,"Resistor, 5.1k ohm 1% 1/16W",0402,SMD,
8,R3,1,Vishay,CRCW040251K0FKEDC,"Resistor, 51k ohm 1% 1/16W",0402,SMD,
9,R4,1,Panasonic,ERA-2APB512X,"Resistor, 5.1k ohm 0.1% 1/16W",0402,SMD,
10,R5,1,Panasonic,ERA-2APB153X,"Resistor, 15k ohm 0.1% 1/16W",0402,SMD,
11,SW1,1,Alps Alpine,SKRPACE010,Tactile Switch 4.2x3.2x2.5mm 260gf,4pos,SMD,
12,U1,1,Texas Instruments,SN74AHC1G00DRLR,Single 2-Input Positive-NAND Gate,DRL0005A,SMD,
13,U2,1,Texas Instruments,REF3325AIRSER,Voltage Reference,RSE0008A,SMD,
14,U3,1,Microchip Technology,MCP6232T-E/MNY,Operational Amplifier,TDFN-2X3,SMD,
